1161	1161
18	18
535	516
614	608
564	555
1010	1010
586	572
539	251
591	510
591	510
548	516
519	519
1039	1039
516	502
505	555
545	48
1075	1075
1043	1161
527	251
150	150
18	18
600	536
1162	1162
562	562
66	532
250	572
250	589
555	505
502	540
564	505
1124	1124
48	540
532	150
583	583
572	250
605	532
505	564
610	610
1105	1226
611	544
583	583
251	539
1162	1161
540	502
1226	1043
1195	1195
1331	1039
1143	1195
1143	1143
515	515
1161	1161
532	605
544	610
1010	1010
548	548
1007	1143
614	589
544	611
150	116
1190	1226
116	605
48	545
515	515
539	591
1007	1226
611	586
610	610
66	75
1039	1331
600	536
503	251
586	611
1190	1195
1331	1039
504	504
555	516
536	600
1195	1195
504	505
562	562
1226	1105
572	586
503	539
589	510
527	610
510	591
1124	1043
608	608
589	614
510	589
608	608
75	536
502	516
535	504
75	532
538	538
545	540
519	519
516	535
116	610
251	527
605	116
1075	1075
1043	1124
536	48
540	48
1105	1226
538	538
